"통계분류(1)",통계분류(2),통계분류(3),2021,2021,2021
"통계분류(1)",통계분류(2),통계분류(3),사례수,전체 평균,독서자 평균
"전체",소계,소계,3320,34.4,37.6
"학교급",초등학교,소계,1117,66.6,69.5
"학교급",중학교,소계,1095,23.5,25.6
"학교급",고등학교,소계,1108,12.6,14.6
"학교급 학년",초등학교,4학년,380,76.3,78.2
"학교급 학년",초등학교,5학년,360,63.6,68.1
"학교급 학년",초등학교,6학년,376,59.6,61.8
"학교급 학년",중학교,1학년,394,30.8,32.8
"학교급 학년",중학교,2학년,357,22.6,24.3
"학교급 학년",중학교,3학년,344,16.2,18.3
"학교급 학년",고등학교,1학년,392,15.7,17.7
"학교급 학년",고등학교,2학년,364,11.6,13.4
"학교급 학년",고등학교,3학년,352,10.2,12.1
