"특성별(1)",특성별(2),특성별(3),2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"특성별(1)",특성별(2),특성별(3),보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유,보유,미보유
"지역별",울산,소계,87.5,12.5,87.5,12.5,88.1,11.9,87.7,12.3,88.0,12.0,87.1,12.9,85.6,14.4,88.3,11.7,84.6,15.4,81.4,18.6,81.5,18.5,82.3,17.7,64.6,35.4,74.4,25.6
"지역별",경기,소계,85.6,14.4,86.3,13.7,86.3,13.7,86.2,13.8,86.5,13.5,86.6,13.4,85.4,14.6,84.6,15.4,83.5,16.5,82.0,18.0,79.9,20.1,80.6,19.4,87.4,12.6,81.5,18.5
"지역별",강원,소계,76.4,23.6,76.8,23.2,77.3,22.7,77.2,22.8,78.2,21.8,67.0,33.0,64.3,35.7,62.5,37.5,58.9,41.1,56.9,43.1,55.8,44.2,58.7,41.3,72.8,27.2,66.1,33.9
"지역별",충청,소계,72.1,27.9,72.5,27.5,72.7,27.3,72.9,27.1,74.3,25.7,73.3,26.7,69.1,30.9,66.7,33.3,66.2,33.8,69.0,31.0,64.3,35.7,64.2,35.8,61.1,38.9,71.1,28.9
"지역별",충청,충북,76.1,23.9,76.5,23.5,76.5,23.5,76.5,23.5,77.6,22.4,74.1,25.9,70.5,29.5,67.9,32.1,65.2,34.8,69.0,31.0,64.7,35.3,66.8,33.2,64.9,35.1,72.1,27.9
"지역별",충청,충남,69.1,30.9,69.5,30.5,69.9,30.1,70.2,29.8,72.0,28.0,72.7,27.3,68.1,31.9,65.7,34.3,66.8,33.2,67.5,32.5,62.9,37.1,61.6,38.4,56.1,43.9,68.8,31.2
"지역별",충청,세종,-,-,-,-,-,-,-,-,-,-,-,-,68.0,32.0,69.2,30.8,69.3,30.7,79.9,20.1,71.2,28.8,68.7,31.3,76.3,23.7,80.7,19.3
"지역별",전라,소계,68.9,31.1,68.9,31.1,69.2,30.8,69.3,30.7,71.3,28.7,67.8,32.2,65.6,34.4,65.7,34.3,61.0,39.0,61.7,38.3,59.7,40.3,56.2,43.8,46.9,53.1,51.6,48.4
"지역별",전라,전북,70.9,29.1,71.3,28.7,71.8,28.2,71.9,28.1,73.1,26.9,70.8,29.2,68.3,31.7,69.1,30.9,64.5,35.5,65.0,35.0,65.4,34.6,60.8,39.2,48.7,51.3,51.7,48.3
"지역별",전라,전남,67.0,33.0,66.7,33.3,66.7,33.3,66.8,33.2,69.5,30.5,64.9,35.1,62.9,37.1,62.3,37.7,57.5,42.5,58.4,41.6,54.0,46.0,51.6,48.4,45.0,55.0,51.4,48.6
"지역별",경상,소계,69.1,30.9,69.4,30.6,70.5,29.5,70.2,29.8,71.7,28.3,71.4,28.6,67.8,32.2,67.7,32.3,66.5,33.5,63.3,36.7,61.8,38.2,58.7,41.3,49.3,50.7,60.6,39.4
"지역별",경상,경북,67.3,32.7,67.6,32.4,68.8,31.2,68.4,31.6,69.9,30.1,69.2,30.8,63.3,36.7,63.7,36.3,63.2,36.8,60.1,39.9,61.2,38.8,59.0,41.0,51.9,48.1,66.5,33.5
"지역별",경상,경남,70.6,29.4,70.9,29.1,72.0,28.0,71.9,28.1,73.2,26.8,73.3,26.7,71.8,28.2,71.2,28.8,69.3,30.7,66.1,33.9,62.3,37.7,58.5,41.5,47.2,52.8,55.7,44.3
"지역별",제주,소계,76.3,23.7,76.4,23.6,77.3,22.7,77.4,22.6,79.1,20.9,78.3,21.7,76.2,23.8,74.9,25.1,73.3,26.7,71.6,28.4,70.6,29.4,69.0,31.0,46.4,53.6,59.3,40.7
